"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"265","Equanimeous St. Brown (GB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"266","Darvin Kidsy (WAS)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"267","J.J. Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"268","Keon Hatcher (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"269","Dylan Cantrell (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"270","Derrick Willies (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"271","J'Mon Moore (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"272","River Cracraft (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"273","Lance Lenoir Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"274","Josh Malone (NYJ)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"275","Jester Weah (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"276","Quincy Adeboyejo (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"277","Tyler Johnson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.3%"
"278","Dan Chisena (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"279","Justice Shelton-Mosley (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"280","Andre Baccellia (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"281","Maurice Ffrench (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"282","Jeff Cotton (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"283","Dalton Schoen (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"284","J.J. Koski (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"285","Earnest Edwards (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"286","Brandon Polk (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"287","Siaosi Mariner (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"288","Josh Hammond (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"289","Bryan Edwards (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"290","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"291","Thomas Ives (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"292","DJ Montgomery (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"293","Laviska Shenault Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.9%"
"294","John Hightower (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"295","Aaron Fuller (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"296","Donovan Peoples-Jones (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"297","Michael Pittman Jr. (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.9%"
"298","Devin Duvernay (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.4%"
"299","KJ Hamler (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.7%"
"300","Brandon Aiyuk (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.9%"
"301","Justin Jefferson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.8%"
"302","Jalen Reagor (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57.0%"
"303","Tee Higgins (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.7%"
"304","Henry Ruggs III (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69.6%"
"305","CeeDee Lamb (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75.0%"
"306","Jerry Jeudy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.1%"
"307","Reggie Begelton (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"308","Spencer Schnell (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"309","Antonio Gandy-Golden (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"310","Trenton Irwin (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"311","Tyron Johnson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"312","Penny Hart (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"313","Stephen Carlson (CLE)","5","7","51","10.2","21","1","1","0","0","0","0","9","0.0","0.0","0.0%"
"314","Nick Easley (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"315","Quinton Bell (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"316","Juwann Winfree (DEN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"317","Trinity Benson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"318","Alex Bachman (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
